Ward_Number,Zone,Zone_Chairperson,Councillor_Name,Address,Contact,Party,Committee,Sewerage_Stations,Street_Lights_Count,Water_Supply_Scheme
80,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
81,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
82,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
83,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
84,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
85,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
86,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
87,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
88,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
89,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
90,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
91,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
92,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
93,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
94,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
95,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
96,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
97,WEST - ZONE V,Tmt. J. Geetha,Not Available,Not Available,Not Available,Not Available,Not Available,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
98,WEST - ZONE V,Tmt. J. Geetha,Tmt. N. Pushpa,"13, Chokkalingam pillai street, thirupparakundram, Madurai - 625005",+91 9092999909,DMK,ZONE - V(WEST) CHAIRPERSON,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
99,WEST - ZONE V,Tmt. J. Geetha,Dr. R. Sanjay,"22C/4A, Pasumpon nagar, thirupparakundram, Madurai - 625 005",+91 9842107573,DMK,Taxation and Finance Committee,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
100,WEST - ZONE V,Tmt. J. Geetha,Smt. Q. Malathi,"150/14, Chinnaudaippu, p.t.c. post, avaniyapuram, Madurai - 625022",+91 9843312689,MDMK,Taxation and Finance Committee,Part of South Zone network,6743.0,Vaigai Water Supply Scheme (68 MLD)
